Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Market Cap
2013/4/28,1.353,1.3598,1.321,1.3421,0,1488566728
2013/4/29,1.3444,1.4749,1.34,1.4454,0,1603768865
2013/4/30,1.44,1.4693,1.3405,1.39,0,1542813125
2013/5/1,1.39,1.3989,1.0772,1.1699,0,1298954594
2013/5/2,1.1638,1.256,0.9228,1.0521,0,1168517495
2013/5/3,1.0625,1.0813,0.791,0.9775,0,1085995169
2013/5/4,0.981,1.15,0.925,1.125,0,1250316563
2013/5/5,1.129,1.188,1.0714,1.1591,0,1288693176
2013/5/6,1.1598,1.2466,1.0664,1.123,0,1249023060
2013/5/7,1.1225,1.1344,0.977,1.115,0,1240593600
2013/5/8,1.096,1.1578,1.096,1.1357,0,1264049202
2013/5/9,1.132,1.1346,1.0926,1.1267,0,1254535382
2013/5/10,1.128,1.22,1.1155,1.172,0,1305479080
2013/5/11,1.177,1.1868,1.1301,1.1524,0,1284207489
2013/5/12,1.1564,1.1745,1.1343,1.15,0,1281982625
2013/5/13,1.1482,1.187,1.145,1.1798,0,1315710011
2013/5/14,1.1798,1.198,1.1025,1.115,0,1243874488
2013/5/15,1.114,1.1581,1.035,1.1422,0,1274623813
2013/5/16,1.1422,1.1876,1.122,1.1876,0,1325726787
2013/5/17,1.1821,1.253,1.1657,1.2301,0,1373723882
2013/5/18,1.235,1.2525,1.223,1.235,0,1379574546
2013/5/19,1.2321,1.245,1.1957,1.2199,0,1363204703
2013/5/20,1.225,1.2362,1.2012,1.22,0,1363709900
2013/5/21,1.2202,1.23,1.2121,1.2288,0,1374013440
2013/5/22,1.2289,1.24,1.22,1.2389,0,1385778993
2013/5/23,1.238,1.2693,1.231,1.267,0,1417769833
2013/5/24,1.263,1.3385,1.2572,1.332,0,1491070770
2013/5/25,1.331,1.3322,1.289,1.3198,0,1477958233
2013/5/26,1.3199,1.36,1.3062,1.3348,0,1495293015
2013/5/27,1.335,1.3546,1.247,1.2974,0,1454029510
2013/5/28,1.2977,1.3058,1.256,1.29,0,1446189975
2013/5/29,1.29,1.3259,1.2766,1.323,0,1483734578
2013/5/30,1.3225,1.3225,1.27,1.288,0,1445053941
2013/5/31,1.288,1.299,1.264,1.29,0,1447870200
