,0
0,64.8235
1,64.8716
2,64.7574
3,64.9584
4,64.7629
5,64.7475
6,64.8038
7,64.8639
8,63.3263
9,63.3427
10,63.1761
11,63.7778
12,63.8844
13,63.6126
14,63.7613
15,64.1966
16,64.6101
17,65.3014
18,64.5372
19,63.8562
20,64.0922
21,64.1127
22,63.7127
23,63.5949
24,57.3835
25,56.4803
26,55.7555
27,55.5433
28,56.2354
29,48.7149
30,44.5187
31,46.0217
32,43.6594
33,43.4711
34,38.8076
35,40.0997
36,37.7913
37,38.2072
38,42.5742
39,42.7885
40,40.1727
41,42.1467
42,41.3988
43,38.9413
44,39.5689
45,37.5399
46,35.211
47,34.1994
48,34.7611
49,36.1423
50,35.0266
51,34.2459
52,34.8695
53,33.1368
54,32.4248
55,32.3676
56,32.5284
57,35.4586
58,36.9606
59,37.4595
60,41.3444
61,38.9654
62,40.1418
63,39.9898
64,40.786
65,38.1549
66,38.573
67,36.5483
68,39.2392
69,38.2041
70,38.6595
71,37.427
72,38.4352
73,39.4341
74,38.3674
75,38.5772
76,38.4519
77,40.7663
78,40.2525
79,40.3085
80,40.353
81,36.7892
82,36.8737
83,36.613
84,35.5295
85,37.0605
86,36.3068
87,36.5501
88,36.7856
89,36.5784
90,37.2857
91,36.0101
92,35.7603
93,36.0458
94,35.8512
95,36.0087
96,35.9977
97,36.0246
98,35.8397
99,34.7045
100,34.4812
101,34.8618
102,34.5779
103,34.8795
104,35.2106
105,34.6401
106,34.5915
107,34.6636
108,34.1377
109,33.9947
110,36.6678
111,36.712
112,36.9019
113,36.4843
114,36.5353
115,36.3207
116,36.1688
117,36.2081
118,36.2979
119,36.7384
120,39.1571
121,39.4709
122,39.9982
123,39.5412
124,40.0553
125,41.4253
126,38.1043
127,38.827
128,38.5436
129,38.5105
130,38.5479
131,38.5958
132,38.6442
133,38.4718
134,37.6156
135,38.9638
136,39.0394
137,39.1148
138,39.0113
139,39.6331
140,39.516
141,39.0523
142,39.0916
143,39.0672
144,39.2437
145,39.6091
146,40.4873
147,40.2523
148,40.3251
149,40.7119
150,40.8748
151,40.2933
152,40.2397
153,40.3583
154,40.2217
155,39.6307
156,39.8508
157,40.8707
158,40.6911
159,40.9837
160,41.0666
161,41.054
162,41.5818
163,48.7988
164,49.7302
165,49.228
166,50.3668
167,50.5982
168,51.989
169,52.8977
170,52.0496
171,53.2455
172,50.6449
173,50.8954
174,50.9659
175,51.6772
176,50.6711
177,52.3556
178,52.5194
179,52.9839
180,53.0381
181,53.3789
182,53.1453
183,53.9937
184,55.7236
185,54.6487
186,52.1052
187,52.7935
188,52.6829
189,52.8514
190,52.4735
191,53.5073
192,54.027
193,55.0528
194,57.6829
195,58.3117
196,57.9571
197,57.4681
198,58.295
199,59.8246
200,61.7453
201,63.7885
202,72.0477
203,69.7237
204,78.1492
205,79.9442
206,82.0517
207,78.8491
208,73.439
209,72.7121
210,81.9769
211,79.7831
212,79.6333
213,76.8007
214,78.8185
215,79.8737
216,80.5254
217,86.7322
218,88.0578
219,87.1996
220,86.5949
221,83.1947
222,85.745
223,85.6402
224,87.4296
225,82.0899
226,77.0777
227,78.2423
228,78.2202
229,80.4395
230,79.5413
231,76.8808
232,80.0033
233,79.2771
234,81.4586
235,82.3092
236,86.9383
237,88.3838
238,89.9449
239,93.2035
240,90.8176
241,92.7352
242,95.2716
243,101.4456
244,107.0169
245,108.5537
246,110.111
247,117.9092
